vendor_id,vendor_name,resolved_parent,confidence,relationship_type,reasoning,parent_domain,sources,status,judge_verdict,judge_notes,tool_call_log
V001,Solace Health Analytics Inc.,Solace Health Analytics,0.97,catalog_as_is_match,Catalog fuzzy match on the vendor name as-is resolved this with no ambiguity (100.0%).,solacehealth.io,[],resolved,PASS,"[""All checks passed.""]","[{""step"": 1, ""tool"": ""catalog_search_as_is"", ""reason"": ""Try catalog match using the vendor name as-is (fuzzy, top-5)."", ""query"": ""Solace Health Analytics Inc."", ""result_summary"": ""Top match \""Solace Health Analytics\"" at 100.0%.""}]"
V002,Northstar Analytics International Ltd,Northstar Analytics International,0.95,catalog_abbreviation_match_confirmed,Catalog match confirmed current via verification search: No ownership change found; Northstar Analytics International remains independently held. Catalog entry confirmed current.,northstaranalytics.com,"[""https://www.databiz.example/northstar-analytics-profile""]",resolved,PASS,"[""All checks passed.""]","[{""step"": 1, ""tool"": ""catalog_search_as_is"", ""reason"": ""Try catalog match using the vendor name as-is (fuzzy, top-5)."", ""query"": ""Northstar Analytics International Ltd"", ""result_summary"": ""No candidate reached the 95% match threshold.""}, {""step"": 2, ""tool"": ""catalog_search_abbreviation"", ""reason"": ""As-is match failed; retry with a likely abbreviation of the vendor name."", ""query"": ""NAI"", ""result_summary"": ""Top match \""NAI\"" at 100.0%.""}, {""step"": 3, ""tool"": ""verification_search"", ""reason"": ""Catalog entry last verified 2023-06-14 (>18 months old); confirm before trusting it."", ""query"": ""NAI parent company ownership"", ""result_summary"": ""See verification result.""}]"
V003,Ferrum & Oak Advisory GmbH,Ferrum & Oak Group,0.88,knowledge_guess_confirmed_in_catalog,"""Advisory GmbH"" is a common naming pattern for a European advisory arm of a larger group; the base name closely matches a known catalog entity. Confirmed against the catalog (100.0%).",ferrumoak.com,"[""agent_prior_knowledge""]",resolved,PASS,"[""All checks passed.""]","[{""step"": 1, ""tool"": ""catalog_search_as_is"", ""reason"": ""Try catalog match using the vendor name as-is (fuzzy, top-5)."", ""query"": ""Ferrum & Oak Advisory GmbH"", ""result_summary"": ""No candidate reached the 95% match threshold.""}, {""step"": 2, ""tool"": ""catalog_search_abbreviation"", ""reason"": ""As-is match failed; retry with a likely abbreviation of the vendor name."", ""query"": ""FOA"", ""result_summary"": ""No candidate reached the 95% match threshold.""}, {""step"": 3, ""tool"": ""agent_reasoning"", ""reason"": ""No catalog match by name or abbreviation; propose a candidate parent from general knowledge before searching the web."", ""query"": ""Ferrum & Oak Advisory GmbH"", ""result_summary"": ""Ferrum & Oak Group""}, {""step"": 4, ""tool"": ""catalog_search_verify_guess"", ""reason"": ""Check whether the guessed parent exists in the catalog."", ""query"": ""Ferrum & Oak Group"", ""result_summary"": ""Found \""Ferrum & Oak Group\"" at 100.0%.""}]"
V004,Brightwell Logistics (Midwest) LLC,Cascadia Freight Holdings,0.9,catalog_correction,"Catalog said ""Brightwell Logistics"" but was stale; verification search found: Brightwell Logistics was acquired by Cascadia Freight Holdings in a 2024 transaction; Brightwell now operates as a Cascadia subsidiary.",cascadiafreight.com,"[""https://www.freightwaves.example/brightwell-cascadia-acquisition-2024""]",resolved,PASS,"[""All checks passed.""]","[{""step"": 1, ""tool"": ""catalog_search_as_is"", ""reason"": ""Try catalog match using the vendor name as-is (fuzzy, top-5)."", ""query"": ""Brightwell Logistics (Midwest) LLC"", ""result_summary"": ""Top match \""Brightwell Logistics\"" at 100.0%.""}, {""step"": 2, ""tool"": ""verification_search"", ""reason"": ""Catalog entry last verified 2022-09-05 (>18 months old); confirm before trusting it."", ""query"": ""Brightwell Logistics parent company ownership"", ""result_summary"": ""See verification result.""}]"
V005,Ashgrove Partners,Ashgrove Partners,0.97,catalog_as_is_match,Catalog fuzzy match on the vendor name as-is resolved this with no ambiguity (100.0%).,ashgrovepartners.com,[],resolved,PASS,"[""All checks passed.""]","[{""step"": 1, ""tool"": ""catalog_search_as_is"", ""reason"": ""Try catalog match using the vendor name as-is (fuzzy, top-5)."", ""query"": ""Ashgrove Partners"", ""result_summary"": ""Top match \""Ashgrove Partners\"" at 100.0%.""}]"
V006,Meridian Consulting Group (APAC) Pte Ltd,Meridian Consulting Group,0.97,catalog_as_is_match,Catalog fuzzy match on the vendor name as-is resolved this with no ambiguity (100.0%).,meridianconsulting.com,[],resolved,PASS,"[""All checks passed.""]","[{""step"": 1, ""tool"": ""catalog_search_as_is"", ""reason"": ""Try catalog match using the vendor name as-is (fuzzy, top-5)."", ""query"": ""Meridian Consulting Group (APAC) Pte Ltd"", ""result_summary"": ""Top match \""Meridian Consulting Group\"" at 100.0%.""}]"
V007,Kestrel Data Systems Corp,Kestrel Data Systems,0.97,catalog_as_is_match,Catalog fuzzy match on the vendor name as-is resolved this with no ambiguity (100.0%).,kestreldata.com,[],resolved,PASS,"[""All checks passed.""]","[{""step"": 1, ""tool"": ""catalog_search_as_is"", ""reason"": ""Try catalog match using the vendor name as-is (fuzzy, top-5)."", ""query"": ""Kestrel Data Systems Corp"", ""result_summary"": ""Top match \""Kestrel Data Systems\"" at 100.0%.""}]"
V008,Sterling Partners LLC,Sterling Partners Advisory,0.85,web_search_tie_break,"Two distinct firms share the 'Sterling Partners' name: Sterling Partners Capital (New York, NY) and Sterling Partners Advisory (Chicago, IL). Evidence alone does not disambiguate which one this vendor record refers to. Vendor address ""200 W Madison St, Chicago, IL"" matches the known address for ""Sterling Partners Advisory"" (200 W Madison St, Chicago, IL).",sterlingpartnersadvisory.com,"[""https://www.bizwire.example/sterling-partners-directory"", ""vendor_address_field""]",resolved,PASS,"[""All checks passed.""]","[{""step"": 1, ""tool"": ""catalog_search_as_is"", ""reason"": ""Try catalog match using the vendor name as-is (fuzzy, top-5)."", ""query"": ""Sterling Partners LLC"", ""result_summary"": ""No candidate reached the 95% match threshold.""}, {""step"": 2, ""tool"": ""catalog_search_abbreviation"", ""reason"": ""As-is match failed; retry with a likely abbreviation of the vendor name."", ""query"": ""SP"", ""result_summary"": ""No candidate reached the 95% match threshold.""}, {""step"": 3, ""tool"": ""agent_reasoning"", ""reason"": ""No catalog match by name or abbreviation; propose a candidate parent from general knowledge before searching the web."", ""query"": ""Sterling Partners LLC"", ""result_summary"": ""No confident guess.""}, {""step"": 4, ""tool"": ""web_search"", ""reason"": ""Catalog and internal knowledge could not resolve this vendor; search for ownership/acquisition evidence."", ""query"": ""Sterling Partners LLC"", ""result_summary"": ""See web search result.""}, {""step"": 5, ""tool"": ""tie_break"", ""reason"": ""Web search surfaced multiple plausible candidates; disambiguate using the vendor's address."", ""query"": ""200 W Madison St, Chicago, IL"", ""result_summary"": ""See tie-break result.""}]"
V009,Vireo Biotech Co,Vireo Biotech,0.97,catalog_as_is_match,Catalog fuzzy match on the vendor name as-is resolved this with no ambiguity (100.0%).,vireobiotech.com,[],resolved,PASS,"[""All checks passed.""]","[{""step"": 1, ""tool"": ""catalog_search_as_is"", ""reason"": ""Try catalog match using the vendor name as-is (fuzzy, top-5)."", ""query"": ""Vireo Biotech Co"", ""result_summary"": ""Top match \""Vireo Biotech\"" at 100.0%.""}]"
V010,Palmetto Insurance Group Inc.,Palmetto Insurance Group,0.97,catalog_as_is_match,Catalog fuzzy match on the vendor name as-is resolved this with no ambiguity (100.0%).,palmettoinsurance.com,[],resolved,PASS,"[""All checks passed.""]","[{""step"": 1, ""tool"": ""catalog_search_as_is"", ""reason"": ""Try catalog match using the vendor name as-is (fuzzy, top-5)."", ""query"": ""Palmetto Insurance Group Inc."", ""result_summary"": ""Top match \""Palmetto Insurance Group\"" at 100.0%.""}]"
